"Ciqual 
AGB","Ciqual 
code",Groupe d'aliment,Sous-groupe d'aliment,Nom Français,LCI Name,Ingredients,Code et Nom,Groupe,Sous-groupe,mPt/kg de produit,kg CO2 eq/kg de produit,kg CVC11 eq/kg de produit,kBq U-235 eq/kg de produit,kg NMVOC eq/kg de produit,disease inc./kg de produit,CTUh/kg de produit,CTUh/kg de produit,mol H+ eq/kg de produit,kg P eq/kg de produit,kg N eq/kg de produit,mol N eq/kg de produit,CTUe/kg de produit,Pt/kg de produit,m3 depriv./kg de produit,MJ/kg de produit,kg Sb eq/kg de produit
11172,11172,aides culinaires et ingrédients divers,aides culinaires,"Court-bouillon pour poissons, déshydraté","Aromatic stock cube, for fish, dehydrated",Total,"Court-bouillon pour poissons, déshydraté (11172)",aides culinaires et ingrédients divers,aides culinaires,2.079014924,9.42516157,8.59553306e-07,30.372447535,0.028110678650000002,5.856061189999999e-07,2.142946893e-07,7.467998840000002e-09,0.0699308058,0.0028215263020000005,0.029896413500000003,0.18761925219999998,65.0964968,114.81209009999999,9.12509627,710.6581436,6.0091126799999995e-05
39700,39700,aides culinaires et ingrédients divers,sauces,"Crème anglaise, préemballée","Light custard cream with vanilla, prepacked",Jaune d'œuf,"Crème anglaise, préemballée (39700)",aides culinaires et ingrédients divers,sauces,0.047223296,0.26121611,1.2148365e-08,0.027158911,0.00072068386,5.2396359e-08,8.3274823e-09,3.2620693e-10,0.0075158127,6.8172794e-05,0.0016442445,0.03288638,7.1654348,20.835926,0.38624864,1.4780016,9.290041e-07
39700,39700,aides culinaires et ingrédients divers,sauces,"Crème anglaise, préemballée","Light custard cream with vanilla, prepacked",Lait demi-écremé,"Crème anglaise, préemballée (39700)",aides culinaires et ingrédients divers,sauces,0.080316402,0.85541244,2.3277811e-08,0.044873644,0.0013579163,6.4239627e-08,2.0153854e-08,5.4653695e-10,0.0094749248,9.1752767e-05,0.0030504024,0.041062514,9.5951358,51.546054,0.26856166,2.4380899,1.9443531e-06
39700,39700,aides culinaires et ingrédients divers,sauces,"Crème anglaise, préemballée","Light custard cream with vanilla, prepacked",Sucre blanc,"Crème anglaise, préemballée (39700)",aides culinaires et ingrédients divers,sauces,0.012908852,0.0582783,4.4097817e-09,0.0035232812,0.00022981856,1.3113699999999998e-08,8.2723656e-10,4.7953637000000006e-11,0.0018870156,1.5669221e-05,0.00060324504,0.0080484417,0.93523836,3.5837094,0.24803254,0.58849083,4.8493056e-07
39700,39700,aides culinaires et ingrédients divers,sauces,"Crème anglaise, préemballée","Light custard cream with vanilla, prepacked",Autres étapes,"Crème anglaise, préemballée (39700)",aides culinaires et ingrédients divers,sauces,0.078335653,0.5759206,1.36242062e-07,0.68620044,0.0015301102799999996,2.7883775799999998e-08,9.362021299999998e-09,3.3302342e-10,0.0026803284,9.7001062e-05,0.00130330957,0.0080016987,5.87158891,5.0017792,0.314677882,21.044037,5.180852139999999e-06
39700,39700,aides culinaires et ingrédients divers,sauces,"Crème anglaise, préemballée","Light custard cream with vanilla, prepacked",Total,"Crème anglaise, préemballée (39700)",aides culinaires et ingrédients divers,sauces,0.21878420299999998,1.75082745,1.760780197e-07,0.7617562762000001,0.0038385289999999994,1.576334618e-07,3.867059416e-08,1.2537209370000003e-09,0.0215580815,0.00027259584400000003,0.006601201509999999,0.08999903440000001,23.56739787,80.9674686,1.217520722,25.54861933,8.5391399e-06
25620,25620,aides culinaires et ingrédients divers,sauces,"Guacamole, préemballé","Guacamole, prepacked",Avocat,"Guacamole, préemballé (25620)",aides culinaires et ingrédients divers,sauces,0.21397982,0.79850264,6.8717671e-08,0.032658617,0.0035489015,3.8488614e-08,4.493135e-08,5.5236974e-10,0.0066074208,0.00016246088,0.0062890970000000004,0.020558559,12.390652,57.938201,16.416034,6.3408109,8.7621355e-06
25620,25620,aides culinaires et ingrédients divers,sauces,"Guacamole, préemballé","Guacamole, prepacked",Jus de citron,"Guacamole, préemballé (25620)",aides culinaires et ingrédients divers,sauces,0.025954473999999998,0.08080277,9.480487099999998e-09,0.008142946,0.00045235083,9.2106801e-09,2.9736499e-09,1.171631e-10,0.0013261912,2.1344303e-05,0.0003056646,0.00524016,9.2412967,10.990409,1.5250216,0.95483968,8.086824299999999e-07
25620,25620,aides culinaires et ingrédients divers,sauces,"Guacamole, préemballé","Guacamole, prepacked",Oignons,"Guacamole, préemballé (25620)",aides culinaires et ingrédients divers,sauces,0.010544267,0.037649071,5.40197e-09,0.0091265106,0.0001728499,3.3310952e-09,1.2942178e-09,5.2273971e-11,0.00042463735,1.0594496e-05,0.0004786023,0.0015585539,0.88124205,3.8171012,0.63128008,0.52647827,5.8067622e-07
25620,25620,aides culinaires et ingrédients divers,sauces,"Guacamole, préemballé","Guacamole, prepacked",Autres étapes,"Guacamole, préemballé (25620)",aides culinaires et ingrédients divers,sauces,0.075000707,0.55117763,1.2984475699999997e-07,0.66006461,0.0014573189,2.65767994e-08,8.882391999999999e-09,3.1687382e-10,0.0025493527,9.1820618e-05,0.00123761674,0.007591763099999999,5.71317573,4.7624331,0.299493354,20.1789746,4.9805355900000006e-06
